1,98.38,0.13
2,15.51,0.02
3,153.50,0.19
4,206.43,0.22
5,244.38,0.29
6,190.95,0.24
7,199.82,0.11
8,11.48,0.02
9,163.42,0.21
10,166.23,0.21
11,432.08,0.44
12,151.48,0.19
13,35.76,0.05
14,10417.13,1.71
15,32.79,0.04
16,357.96,0.28
17,110.53,0.10
18,203.62,0.26
19,15.59,0.02
20,165.65,0.21
21,494.74,0.45
22,60.93,0.08
23,10417.13,1.71
24,52.46,0.07
25,335.29,0.22
26,9.04,0.01
27,258.40,0.23
28,47.01,0.06
29,258.40,0.23
30,250.58,0.30
31,5.95,0.01
32,738.15,0.38
33,13.75,0.02
34,132.20,0.18
35,94.14,0.13
36,13.77,0.02
37,194.09,0.22
38,3.87,0.01
39,824.12,0.37
40,19975.89,2.41
41,167.14,0.12
42,4.20,0.01
43,199.82,0.11
44,249.76,0.30
45,52.23,0.07
46,42.67,0.05
47,0.25,0.00
48,38.23,0.05
49,129.91,0.17
50,10417.13,1.71
51,18.04,0.02
52,0.58,0.00
53,56.46,0.07
54,56.01,0.07
55,90.09,0.05
56,132.20,0.18
57,90.09,0.05
58,82.27,0.09
59,20.08,0.03
60,815.39,0.65
61,14.28,0.02
62,10.60,0.01
63,10.10,0.01
64,250.64,0.24
65,343.47,0.08
66,109.34,0.06
67,190.60,0.24
68,152.95,0.19
69,314.69,0.31
70,171.67,0.21
71,0.51,0.00
72,48.76,0.06
73,27.76,0.04
74,27.80,0.04
75,45.62,0.06
76,192.08,0.21
77,38.90,0.05
78,20.08,0.03
79,26.23,0.03
80,12.73,0.02
81,880.63,0.67
82,138.49,0.18
83,0.22,0.00
84,665.00,0.89
85,380.75,0.28
86,201.20,0.15
87,53.54,0.06
88,691.33,0.22
89,52.24,0.07
90,165.50,0.22
91,4.73,0.01
92,48.29,0.06
93,136.41,0.18
94,93.02,0.12
95,571.53,0.38
96,1.01,0.00
97,50.97,0.07
98,206.03,0.26
99,78.50,0.10
100,577.93,0.44
101,16.17,0.02
102,19975.89,2.41
103,165.50,0.22
104,1.22,0.00
105,3.52,0.00
106,4.06,0.01
107,168.04,0.22
108,2.15,0.00
109,494.74,0.45
110,0.24,0.00
111,19975.89,2.41
112,19975.89,2.41
113,158.48,0.20
114,169.66,0.22
115,29.33,0.04
116,19975.89,2.41
117,50.07,0.06
118,165.22,0.11
119,25.50,0.03
120,19975.89,2.41
121,19975.89,2.41
122,21.10,0.03
123,19975.89,2.41
124,102.36,0.13
125,2.54,0.00
126,1.21,0.00
127,5434.89,1.38
128,19975.89,2.41
129,1.21,0.00
130,193.92,0.23
131,10.09,0.01
132,432.08,0.44
133,380.75,0.28
134,841.41,0.64
135,19975.89,2.41
136,19975.89,2.41
137,0.63,0.00
138,19975.89,2.41
139,19975.89,2.41
140,19975.89,2.41
141,16.55,0.02
142,166.40,0.12
143,794.94,0.63
144,252.07,0.28
145,0.03,0.00
146,19975.89,2.41
147,19975.89,2.41
148,30.35,0.04
149,272.98,0.34
150,796.97,0.63
151,30.35,0.04
152,8.33,0.01
153,1058.60,0.26
154,20.35,0.03
155,9.74,0.01
156,164.36,0.20
157,8.33,0.01
158,9.22,0.01
159,90.51,0.11
160,9.74,0.01
161,10417.13,1.71
162,202.34,0.24
163,17.41,0.02
164,10.13,0.01
165,144.65,0.13
166,90.51,0.11
167,10.13,0.01
168,41.18,0.05
169,110.53,0.10
170,4.09,0.00
171,94.14,0.13
172,11.89,0.02
173,231.85,0.27
174,39.58,0.05
175,94.26,0.11
176,88.03,0.11
177,246.01,0.25
178,8.08,0.01
179,20.74,0.03
180,10.13,0.01
181,1171.25,0.70
182,31.69,0.04
183,237.28,0.22
184,10.13,0.01
185,577.93,0.44
186,241.65,0.29
187,37.58,0.05
188,14.37,0.02
189,738.15,0.38
190,0.31,0.00
191,163.55,0.20
192,280.75,0.31
193,62.61,0.08
194,6489.39,1.41
195,32.06,0.04
196,190.60,0.24
197,2.95,0.00
198,278.34,0.17
199,876.93,0.67
200,51.95,0.07
201,20.95,0.03
202,21.94,0.03
203,9.19,0.01
204,163.48,0.10
