1,2,3,4,5,
100000.000,100000.000,253.000,100000.000,0.000,
252.000,252.000,0.000,252.000,253.000,
0.000,252.000,100000.000,253.000,100000.000,
100000.000,100000.000,252.000,0.000,253.000,
252.000,100000.000,0.000,252.000,253.000,
0.000,252.000,100000.000,253.000,253.000,
100000.000,100000.000,100000.000,0.000,100000.000,
252.000,100000.000,0.000,252.000,253.000,
0.000,252.000,252.000,253.000,100000.000,
100000.000,100000.000,100000.000,0.000,100000.000,
251.000,0.000,252.000,100000.000,253.000,
0.000,252.000,253.000,253.000,251.000,
100000.000,253.000,252.000,0.000,100000.000,
251.000,0.000,252.000,253.000,253.000,
100000.000,253.000,100000.000,252.000,0.000,
100000.000,100000.000,252.000,0.000,253.000,
251.000,0.000,100000.000,253.000,100000.000,
100000.000,100000.000,0.000,252.000,253.000,
251.000,0.000,252.000,253.000,253.000,
253.000,100000.000,100000.000,252.000,0.000,
100000.000,252.000,0.000,100000.000,253.000,
251.000,0.000,100000.000,100000.000,100000.000,
100000.000,253.000,253.000,252.000,0.000,
100000.000,100000.000,0.000,100000.000,253.000,
0.000,100000.000,100000.000,100000.000,100000.000,
100000.000,100000.000,253.000,252.000,0.000,
100000.000,100000.000,0.000,252.000,253.000,
0.000,100000.000,100000.000,100000.000,100000.000,
100000.000,100000.000,100000.000,0.000,100000.000,
100000.000,252.000,0.000,252.000,253.000,
0.000,100000.000,100000.000,253.000,100000.000,
253.000,253.000,100000.000,0.000,100000.000,
100000.000,0.000,100000.000,100000.000,253.000,
0.000,100000.000,252.000,253.000,100000.000,
253.000,100000.000,100000.000,0.000,100000.000,
100000.000,0.000,100000.000,100000.000,253.000,
0.000,100000.000,100000.000,100000.000,100000.000,
253.000,100000.000,252.000,0.000,100000.000,
100000.000,0.000,100000.000,100000.000,253.000,
100000.000,100000.000,100000.000,100000.000,0.000,
253.000,253.000,252.000,0.000,253.000,
100000.000,0.000,100000.000,253.000,253.000,
100000.000,253.000,100000.000,100000.000,0.000,
252.000,100000.000,0.000,100000.000,100000.000,
100000.000,0.000,252.000,100000.000,253.000,
253.000,253.000,253.000,252.000,0.000,
252.000,100000.000,0.000,253.000,100000.000,
0.000,100000.000,100000.000,100000.000,100000.000,
100000.000,100000.000,253.000,252.000,0.000,
252.000,100000.000,0.000,100000.000,100000.000,
100000.000,253.000,252.000,0.000,252.000,
252.000,253.000,0.000,252.000,253.000,
0.000,252.000,252.000,100000.000,100000.000,
100000.000,253.000,100000.000,0.000,252.000,
252.000,252.000,0.000,252.000,253.000,
0.000,252.000,100000.000,253.000,100000.000,
100000.000,100000.000,253.000,0.000,252.000,
251.000,0.000,100000.000,253.000,100000.000,
0.000,252.000,100000.000,253.000,100000.000,
100000.000,253.000,252.000,0.000,252.000,
251.000,0.000,100000.000,100000.000,100000.000,
100000.000,253.000,100000.000,100000.000,0.000,
100000.000,100000.000,252.000,0.000,253.000,
251.000,0.000,252.000,100000.000,253.000,
100000.000,100000.000,100000.000,100000.000,0.000,
100000.000,252.000,0.000,252.000,100000.000,
251.000,0.000,100000.000,253.000,253.000,
100000.000,100000.000,100000.000,100000.000,0.000,
100000.000,100000.000,0.000,100000.000,100000.000,
251.000,0.000,100000.000,253.000,253.000,
100000.000,100000.000,253.000,100000.000,0.000,
100000.000,100000.000,0.000,100000.000,100000.000,
0.000,251.000,252.000,100000.000,251.000,
100000.000,100000.000,253.000,100000.000,0.000,
100000.000,252.000,0.000,252.000,253.000,
0.000,251.000,252.000,100000.000,251.000,
100000.000,253.000,100000.000,0.000,100000.000,
253.000,100000.000,0.000,252.000,100000.000,
